name,position,teamname,rawbirthdate,gp,shots,goals,assist1,assist2,points,goals.pp,assist1.pp,assist2.pp,points.pp,goals.ev,assist1.ev,assist2.ev,points.ev,gfev,gaev,gfpp,season.name,ga,gf,team.shots.for,team.shots.against,team.goals,team.assist1,team.assist2,team.points,team.GA,team.GA.EV,team.goals.pp,team.assist1.pp,team.assist2.pp,team.points.pp,team.goals.ev,team.assist1.ev,team.assist2.ev,team.points.ev,pos.clean,height,BD.Mod,birth.year,draft.end,draft.year,draft.season,draft.eligible
Owen Tippett,RW,Mississauga Steelheads,1999-02-16,51,275,36,26,13,75,11,10,4,25,23,12,9,44,59,52,38,2017-18 Regular Season,76,104,2584,2584,249,227,171,647,229,150,68,63,54,185,161,148,114,423,F,6.02,1999-02-16,1999,1999-09-15,2017,2018,N
Luke Kutkevicius,C,Windsor Spitfires,1998-03-25,40,59,13,5,4,22,1,1,1,3,12,4,3,19,27,19,4,2017-18 Regular Season,25,32,2584,2584,213,187,141,541,209,161,35,33,29,97,166,145,107,418,F,6.01,1998-03-25,1998,1998-09-15,2016,2018,N
Jacob Ball,LW,North Bay Battalion,1999-01-16,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2017-18 Regular Season,3,1,2584,2584,209,189,139,537,236,163,52,50,46,148,147,134,90,371,F,6.03,1999-01-16,1999,1999-09-15,2017,2018,N
Kyle Potts,C,North Bay Battalion,1998-05-26,61,104,9,9,7,25,1,0,0,1,7,9,7,23,33,32,1,2017-18 Regular Season,49,37,2584,2584,209,189,139,537,236,163,52,50,46,148,147,134,90,371,F,6.03,1998-05-26,1998,1998-09-15,2016,2018,N
Jakob Brahaney,D,Kingston Frontenacs,1999-03-26,67,121,5,15,10,30,1,6,5,12,4,9,4,17,73,50,18,2017-18 Regular Season,68,98,2584,2584,240,218,178,636,198,145,56,56,52,164,171,152,121,444,D,6.02,1999-03-26,1999,1999-09-15,2017,2018,N
Jacob Paquette,D,Kingston Frontenacs,1999-05-26,63,59,4,7,4,15,1,1,1,3,3,6,2,11,63,46,6,2017-18 Regular Season,57,74,2584,2584,240,218,178,636,198,145,56,56,52,164,171,152,121,444,D,6.03,1999-05-26,1999,1999-09-15,2017,2018,N
Ben Jones,C,Niagara IceDogs,1999-02-26,68,213,30,29,20,79,13,9,7,29,13,18,11,42,57,43,48,2017-18 Regular Season,83,116,2584,2584,238,228,178,644,246,166,59,58,54,171,161,155,116,432,F,6.00,1999-02-26,1999,1999-09-15,2017,2018,N
Austen Keating,C,Ottawa 67's,1999-03-07,66,186,24,16,12,52,5,6,5,16,14,10,7,31,51,52,22,2017-18 Regular Season,71,81,2584,2584,223,200,142,565,249,179,44,42,40,126,159,145,98,402,F,6.00,1999-03-07,1999,1999-09-15,2017,2018,N
Hudson Wilson,D,Ottawa 67's,1999-05-03,66,58,2,6,6,14,0,0,0,0,1,3,5,9,46,48,1,2017-18 Regular Season,91,59,2584,2584,223,200,142,565,249,179,44,42,40,126,159,145,98,402,D,6.03,1999-05-03,1999,1999-09-15,2017,2018,N
Noel Hoefenmayer,D,Ottawa 67's,1999-01-06,65,126,7,17,9,33,0,8,4,12,7,9,5,21,61,64,20,2017-18 Regular Season,84,87,2584,2584,223,200,142,565,249,179,44,42,40,126,159,145,98,402,D,6.00,1999-01-06,1999,1999-09-15,2017,2018,N
Hayden Davis,D,Saginaw Spirit,1999-07-21,68,93,4,11,12,27,1,2,2,5,3,9,10,22,60,64,9,2017-18 Regular Season,83,71,2584,2584,194,185,145,524,218,161,39,39,38,116,136,131,98,365,D,6.03,1999-07-21,1999,1999-09-15,2017,2018,N
David Levin,LW,Sudbury Wolves,1999-09-16,46,112,14,10,5,29,4,4,1,9,9,6,4,19,25,52,18,2017-18 Regular Season,65,44,2584,2584,196,184,130,510,238,163,42,42,38,122,143,133,90,366,F,5.10,1999-09-16,1999,1999-09-15,2018,2018,Y
Dmitry Sokolov,RW,Barrie Colts,1998-04-14,64,268,50,25,21,96,18,3,9,30,30,22,12,64,78,66,47,2017-18 Regular Season,79,128,2584,2584,196,184,130,510,238,163,42,42,38,122,143,133,90,366,F,6.00,1998-04-14,1998,1998-09-15,2016,2018,N
Max Jones,LW,Kingston Frontenacs,1998-02-17,31,122,19,3,2,24,7,0,1,8,11,3,1,15,23,23,18,2017-18 Regular Season,33,42,2584,2584,232,210,153,595,238,160,50,47,40,137,150,141,104,395,F,6.03,1998-02-17,1998,1998-09-15,2016,2018,N
Robert Thomas,C,Hamilton Bulldogs,1999-07-02,49,117,24,30,21,75,9,10,10,29,14,19,10,43,55,33,41,2017-18 Regular Season,68,104,2584,2584,250,237,189,676,221,146,61,61,58,180,175,165,128,468,F,6.01,1999-07-02,1999,1999-09-15,2017,2018,N
Evan Bouchard,D,London Knights,1999-10-20,67,297,25,35,27,87,10,14,9,33,13,17,15,45,82,66,45,2017-18 Regular Season,113,154,2584,2584,232,210,153,595,238,160,50,47,40,137,150,141,104,395,D,6.02,1999-10-20,1999,1999-09-15,2018,2018,Y
Sam Miletic,LW,London Knights,1997-05-04,63,245,36,32,24,92,8,13,8,29,22,18,16,56,74,43,50,2017-18 Regular Season,81,134,2584,2584,232,210,153,595,238,160,50,47,40,137,150,141,104,395,F,6.01,1997-05-04,1997,1997-09-15,2015,2018,N
Kole Sherwood,RW,Kitchener Rangers,1997-01-22,57,216,30,22,8,60,6,7,3,16,23,14,4,41,62,41,29,2017-18 Regular Season,54,93,2584,2584,245,224,175,644,225,159,47,47,44,138,183,169,127,479,F,6.01,1997-01-22,1997,1997-09-15,2015,2018,N
Nicolas Mattinen,D,Flint Firebirds,1998-03-05,64,174,8,8,14,30,2,3,3,8,5,4,9,18,69,74,14,2017-18 Regular Season,114,93,2584,2584,250,237,189,676,221,146,61,61,58,180,175,165,128,468,D,6.05,1998-03-05,1998,1998-09-15,2016,2018,N
Justin Murray,D,Barrie Colts,1998-08-22,62,133,6,12,13,31,1,3,2,6,5,7,8,20,73,57,13,2017-18 Regular Season,88,99,2584,2584,296,280,213,789,273,187,62,61,55,178,203,195,147,545,D,6.00,1998-08-22,1998,1998-09-15,2016,2018,N
Jalen Smereck,D,Flint Firebirds,1997-01-15,46,184,10,15,9,34,2,8,3,13,8,6,6,20,41,80,22,2017-18 Regular Season,120,69,2584,2584,191,169,113,473,249,182,45,42,37,124,131,116,73,320,D,6.01,1997-01-15,1997,1997-09-15,2015,2018,N
Kyle MacLean,C,Oshawa Generals,1999-04-29,44,70,10,8,10,28,0,0,2,2,8,8,8,24,32,25,3,2017-18 Regular Season,36,40,2584,2584,247,221,166,634,250,168,54,54,49,157,168,154,113,435,F,6.01,1999-04-29,1999,1999-09-15,2017,2018,N
Jack Studnicka,C,Oshawa Generals,1999-02-18,66,215,22,37,13,72,5,14,6,25,11,20,7,38,59,37,27,2017-18 Regular Season,68,99,2584,2584,247,221,166,634,250,168,54,54,49,157,168,154,113,435,F,6.02,1999-02-18,1999,1999-09-15,2017,2018,N
Sasha Chmelevski,C,Ottawa 67's,1999-06-09,68,280,35,21,20,76,6,5,8,19,26,14,12,52,74,65,25,2017-18 Regular Season,79,106,2584,2584,223,200,142,565,249,179,44,42,40,126,159,145,98,402,F,6.00,1999-06-09,1999,1999-09-15,2017,2018,N
Ryan McGregor,C,Sarnia Sting,1999-01-29,50,103,13,11,8,32,0,1,1,2,10,9,7,26,40,31,4,2017-18 Regular Season,40,50,2584,2584,296,277,205,778,234,174,66,65,57,188,213,198,142,553,F,6.01,1999-01-29,1999,1999-09-15,2017,2018,N
C.J. Clarke,RW,Flint Firebirds,1999-02-08,66,131,16,8,4,28,5,1,1,7,11,6,3,20,27,45,12,2017-18 Regular Season,49,40,2584,2584,191,169,113,473,249,182,45,42,37,124,131,116,73,320,F,6.00,1999-02-08,1999,1999-09-15,2017,2018,N
Zach Gallant,C,Peterborough Petes,1999-03-06,54,121,16,12,3,31,6,2,2,10,6,10,1,17,33,33,16,2017-18 Regular Season,59,54,2584,2584,220,205,144,569,264,173,61,61,57,179,144,134,85,363,F,6.02,1999-03-06,1999,1999-09-15,2017,2018,N
Cole Fraser,D,Peterborough Petes,1999-08-23,50,69,3,4,4,11,0,0,0,0,3,3,4,10,32,44,0,2017-18 Regular Season,70,38,2584,2584,220,205,144,569,264,173,61,61,57,179,144,134,85,363,D,6.02,1999-08-23,1999,1999-09-15,2017,2018,N
Nick Grima,D,Sarnia Sting,1999-03-07,65,65,1,5,10,16,0,0,0,0,1,5,9,15,64,46,0,2017-18 Regular Season,53,69,2584,2584,296,277,205,778,234,174,66,65,57,188,213,198,142,553,D,6.00,1999-03-07,1999,1999-09-15,2017,2018,N
Ryan Cranford,RW,Kingston Frontenacs,1998-04-09,68,187,16,8,9,33,1,2,0,3,12,6,9,27,40,44,4,2017-18 Regular Season,61,51,2584,2584,240,218,178,636,198,145,56,56,52,164,171,152,121,444,F,6.00,1998-04-09,1998,1998-09-15,2016,2018,N
Jason Robertson,RW,Kingston Frontenacs,1999-07-22,68,308,41,26,20,87,15,12,9,36,26,14,11,51,68,49,47,2017-18 Regular Season,63,115,2584,2584,240,218,178,636,198,145,56,56,52,164,171,152,121,444,F,6.03,1999-07-22,1999,1999-09-15,2017,2018,N
Nolan Gardiner,C,Ottawa 67's,1998-09-09,18,13,1,0,0,1,0,0,0,0,1,0,0,1,3,12,0,2017-18 Regular Season,19,3,2584,2584,223,200,142,565,249,179,44,42,40,126,159,145,98,402,F,6.00,1998-09-09,1998,1998-09-15,2016,2018,N
Brady Gilmour,C,Saginaw Spirit,1999-04-18,41,93,9,9,7,25,0,5,4,9,8,4,3,15,26,24,18,2017-18 Regular Season,34,46,2584,2584,194,185,145,524,218,161,39,39,38,116,136,131,98,365,F,5.11,1999-04-18,1999,1999-09-15,2017,2018,N
Cole Coskey,RW,Saginaw Spirit,1999-06-01,68,167,27,14,9,50,7,7,4,18,15,6,5,26,36,45,25,2017-18 Regular Season,69,68,2584,2584,194,185,145,524,218,161,39,39,38,116,136,131,98,365,F,6.01,1999-06-01,1999,1999-09-15,2017,2018,N
Kirill Maksimov,RW,Niagara IceDogs,1999-06-01,62,227,34,26,20,80,12,8,9,29,18,16,10,44,63,33,46,2017-18 Regular Season,62,119,2584,2584,238,228,178,644,246,166,59,58,54,171,161,155,116,432,F,6.02,1999-06-01,1999,1999-09-15,2017,2018,N
Matthew Strome,LW,Hamilton Bulldogs,1999-01-06,65,185,37,20,11,68,12,8,4,24,24,11,7,42,57,52,42,2017-18 Regular Season,72,101,2584,2584,250,237,189,676,221,146,61,61,58,180,175,165,128,468,F,6.04,1999-01-06,1999,1999-09-15,2017,2018,N
Joseph Mizzi,LW,Windsor Spitfires,1998-04-19,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-18 Regular Season,0,0,2584,2584,213,187,141,541,209,161,35,33,29,97,166,145,107,418,F,5.09,1998-04-19,1998,1998-09-15,2016,2018,N
MacKenzie Entwistle,RW,Hamilton Bulldogs,1999-07-14,49,127,13,15,10,38,2,1,3,6,11,11,7,29,44,30,14,2017-18 Regular Season,43,62,2584,2584,250,237,189,676,221,146,61,61,58,180,175,165,128,468,F,6.03,1999-07-14,1999,1999-09-15,2017,2018,N
Reilly Webb,D,Hamilton Bulldogs,1999-05-04,66,79,1,3,0,4,0,0,0,0,1,3,0,4,31,45,0,2017-18 Regular Season,63,34,2584,2584,250,237,189,676,221,146,61,61,58,180,175,165,128,468,D,6.03,1999-05-04,1999,1999-09-15,2017,2018,N
